Sr No,Date,Startup Name,IndUSAtry Vertical,SubVertical,Location,Investors Name,InvestmentType,Amount,IsAmountDisclosed
2756,04-05-2015,World Art Community,Online Art Marketplace,Not Specified,Gurgaon,Viraj Tyagi & others,Seed Funding,200000,1
2757,04-05-2015,SpoonJoy,Online Food Delivery,Not Specified,Bangalore,SAIF Partners,Seed Funding,1000000,1
2758,05-05-2015,Seed Schools,Affordable Education,Not Specified,Hyderabad,Acumen Fund,Seed Funding,650000,1
2759,05-05-2015,Ignis Careers,Career Development,Not Specified,Hyderabad,Acumen Fund,Seed Funding,250000,1
2760,05-05-2015,Square Yards,Real Estate Advisory,Not Specified,Gurgaon,Undisclosed Investors,Private Equity,6000000,1
2761,05-05-2015,Fintellix,Banking Analytics Platform,Not Specified,Bangalore,"IDG Ventures, Sequoia Capital",Private Equity,15000000,1
2762,05-05-2015,Customer360,Customer Engagement Platform,Not Specified,Mumbai,Vishwas Patel,Seed Funding,0,0
2763,06-05-2015,Delhivery,E-Commerce Logistics,Not Specified,Gurgaon,"Tiger Global Management, Multiples Alternate Asset Management, Nexus Venture Partners, Times Internet",Private Equity,85000000,1
2764,06-05-2015,Swiggy,Online Food Delivery,Not Specified,Bangalore,Norwest Venture Partners,Private Equity,15000000,1
2765,07-05-2015,Uniphore,Speech Recognition Solutions,Not Specified,Chennai,"IDG Ventures, Kris Gopalakrishnan",Private Equity,0,0
2766,07-05-2015,Box8,Online Food Delivery,Not Specified,Mumbai,Mayfield Ventures,Private Equity,3500000,1
2767,07-05-2015,Toppr,Online Education Platform,Not Specified,Mumbai,"Fidelity Growth Partners India, SAIF Partners, Helion Ventures",Private Equity,10000000,1
2768,07-05-2015,Vedantu,Online Education Platform,Not Specified,Bangalore,"Accel Partners, Tiger Global Management",Private Equity,5000000,1
2769,08-05-2015,BuyHatke,Online Product Comparison,Not Specified,Bangalore,"S.Gopalakrishnan, Beenos",Seed Funding,1000000,1
2770,08-05-2015,KleverKid,Online Education Platform,Not Specified,New Delhi,Aarin Capital Partners,Seed Funding,0,0
2771,08-05-2015,Uniken,Online Security Platform,Not Specified,Pune,Exfinity Ventures,Private Equity,2000000,1
2772,08-05-2015,GrandOpinion,Online Medical Diagnostic,Not Specified,New Delhi,Florida based Angel investor,Seed Funding,150000,1
2773,08-05-2015,HealthifyMe,Health & Fitness App,Not Specified,Bangalore,Micromax Informatics,Private Equity,0,0
2774,12-05-2015,ZapStitch,Cloud Data Integration Platform,Not Specified,Bangalore,"Helion Venture Partners, Orios Venture Partners",Private Equity,2000000,1
195,09-07-2018,ZippServe,Consumer Internet,Online Platform For Risk-Assessment Services For Real Estate Investments,Bangalore,Info Edge (India) Ltd,Seed/ Angel Funding,440000,1
2776,,Mobiefit,Mobile Fitness App,Not Specified,Goa,Prototyze,Seed Funding,0,0
2777,,Plancess,Online Education Platform,Not Specified,Mumbai,"Rajendra Gogri, Chandrakant Gogri",Seed Funding,2000000,1
2778,12-05-2015,WorkHorse,Service-On-Demand Mobile App,Not Specified,Mumbai,Undisclosed Investors,Seed Funding,0,0
2779,13-05-2015,Innovaccer,Intelligent Data Analytics,Not Specified,Noida,"Rajan Anandan, Teru Sato, Aneesh Reddy, Venkatesh Valluri",Seed Funding,0,0
2780,13-05-2015,MyCuteOffice,Online Office Rental,Not Specified,Mumbai,Lead Angels,Seed Funding,0,0
